Country,Year,Man_no,Female_no
Singapore,1975,239175.8398,199724.1439
Singapore,1976,241108.3063,199803.62
Singapore,1977,242547.7388,199536.0298
Singapore,1978,243947.9819,199245.2414
Singapore,1979,245976.6341,199386.1464
Singapore,1980,248969.4021,200208.873
Singapore,1981,253063.7847,201770.3565
Singapore,1982,258138.2532,204023.5864
Singapore,1983,263670.6485,206582.8055
Singapore,1984,268785.9422,208854.3341
Singapore,1985,272981.0537,210519.0108
Singapore,1986,275841.0606,211310.2221
Singapore,1987,277966.3855,211658.876
Singapore,1988,280127.5696,212106.4206
Singapore,1989,283211.9445,213281.8328
Singapore,1990,287934.2162,215660.9404
Singapore,1991,294401.9347,219375.6673
Singapore,1992,302035.0154,223971.869
Singapore,1993,310167.3896,228941.3978
Singapore,1994,317827.4968,233651.3018
Singapore,1995,324689.8714,237999.0115
Singapore,1996,330719.0283,242059.6419
Singapore,1997,336060.0189,245844.047
Singapore,1998,341428.4678,249910.1944
Singapore,1999,347516.1596,254580.1237
Singapore,2000,354794.8344,260177.311
Singapore,2001,363357.9758,266682.58
Singapore,2002,372849.8723,273777.8402
Singapore,2003,382954.582,281249.2168
Singapore,2004,392592.5206,288388.9741
Singapore,2005,401130.7458,294666.8553
Singapore,2006,408168.1879,299708.1831
Singapore,2007,413812.15,303641.8028
Singapore,2008,418132.5421,306467.1237
Singapore,2009,421667.0406,308662.3149
Singapore,2010,424835.1503,310551.4153
Singapore,2011,427835.123,312250.9017
Singapore,2012,430765.9587,313891.0956
Singapore,2013,433454.5517,315382.0003
Singapore,2014,435807.8796,316824.3623
Singapore,2015,437848.5929,318235.8852
